Project,Date,Country,Latitude,Longitude,Site,Condition,Species,Genotype,Temperature,Timepoint,Pam_value
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,9,34.04,420,0.547
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,10,34.04,420,0.503
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,11,34.04,420,0.53
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,12,34.04,420,0.533
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,13,34.04,420,0.534
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,14,34.04,420,0.558
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,1,32.04,420,0.561
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,2,32.04,420,0.55
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,3,32.04,420,0.539
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,4,32.04,420,0.545
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,5,32.04,420,0.532
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,6,32.04,420,0.558
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,7,32.04,420,0.455
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,8,32.04,420,0.511
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,9,32.04,420,0.592
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,10,32.04,420,0.492
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,11,32.04,420,0.547
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,12,32.04,420,0.56
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,13,32.04,420,0.559
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,14,32.04,420,0.582
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,1,28.04,420,0.526
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,2,28.04,420,0.526
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,3,28.04,420,0.548
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,4,28.04,420,0.502
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,5,28.04,420,0.51
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,6,28.04,420,0.573
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,7,28.04,420,0.485
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,8,28.04,420,0.526
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,9,28.04,420,0.605
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,10,28.04,420,0.514
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,11,28.04,420,0.554
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,12,28.04,420,0.549
