Project,Date,Country,Latitude,Longitude,Site,Species,Genotype,Condition,Temperature,Timepoint,Pam_value
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,3,deep,29.5,T1,0.625
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,4,deep,29.5,T1,0.604
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,5,deep,29.5,T1,0.63
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,6,shallow,29.5,T1,0.65
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,7,shallow,29.5,T1,0.649
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,8,shallow,29.5,T1,0.623
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,9,shallow,29.5,T1,0.613
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,10,shallow,29.5,T1,0.636
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,1,deep,29.5,T1,0.556
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,2,deep,29.5,T1,0.566
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,3,deep,29.5,T1,0.608
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,4,deep,29.5,T1,0.591
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,5,deep,29.5,T1,0.602
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,6,shallow,29.5,T1,0.595
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,7,shallow,29.5,T1,0.554
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,8,shallow,29.5,T1,0.552
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,9,shallow,29.5,T1,0.561
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,10,shallow,29.5,T1,0.57
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,1,deep,39.5,T2,0
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,2,deep,39.5,T2,0.024
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,3,deep,39.5,T2,0.024
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,4,deep,39.5,T2,0
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,5,deep,39.5,T2,0
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,6,shallow,39.5,T2,0
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,7,shallow,39.5,T2,0.054
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,8,shallow,39.5,T2,0
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,9,shallow,39.5,T2,0.035
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,10,shallow,39.5,T2,0.011
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,1,deep,39.5,T2,0.031
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,2,deep,39.5,T2,0
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,3,deep,39.5,T2,0.012
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,4,deep,39.5,T2,0.029
